feature,mutual_info
Protocol Type,0.22333872281189693
Min,0.19949000300582798
Tot size,0.12508610339149806
AVG,0.11370230126270875
Tot sum,0.11194089455162826
Max,0.10156338035081669
Duration,0.1013365443365919
IAT,0.0975434321243982
urg_count,0.08662317102501937
rst_count,0.08605034428886937
Variance,0.08266078958990253
flow_duration,0.06768654814899866
ack_flag_number,0.0651932887055745
Covariance,0.060153923302898704
Header_Length,0.05762777285494991
syn_count,0.05305662067770445
syn_flag_number,0.05128356965540293
ICMP,0.04960274761496364
HTTPS,0.049204451999669385
UDP,0.04722386277671675
